__label__neutral,You're speaking/talking to her.
__label__neutral,May I speak to Mr Gates?
__label__neutral,He's not here right now.
__label__neutral,He's in a meeting right now.
__label__neutral,You've just missed him.
__label__neutral,He's just stepped out.
__label__neutral,He's out on his lunch break right now Would you like to leave a message?
__label__neutral,He's not available right now Can I take a message?
__label__neutral,Do you know when he will be back?
__label__neutral,I'm sorry I don't know.
__label__neutral,He should be back in 20 minutes.
__label__neutral,Do you have any idea where he is?
__label__neutral,He's at work right now Do you want his phone number?
__label__neutral,Can I leave a message?
__label__neutral,Yes Go ahead  please.
__label__neutral,Of course Hold on for just a second so I can grab a pen and paper.
__label__neutral,Sure  if you can excuse me for just a second Let me find a piece of paper to write it 
__label__neutral,When he comes back  can you have him call me at (2 0 6) 5 5 5 1 2 1 2?
__label__neutral,Can you repeat again  please?
__label__neutral,(Say) Again  please?
__label__neutral,May I leave a message?
__label__neutral,You know what My English is not that great  and I don't want to miss anything Would you 
__label__neutral,mind calling back later I'm sorry.
__label__neutral,If you don't mind  could you please call back and leave a message on the answering machine  
__label__neutral,My English is not very good.
__label__neutral,Is Brandon there Brandon. 
__label__neutral,Yes  he is  One moment  please.
__label__neutral, Let me see if he's here Hang on OK?
__label__neutral,Can I speak to Alexander Walker?
__label__neutral,Alexander Walker I'm sorry  but there's nobody here by this name.
__label__neutral,I'm sorry I'm afraid you've got the wrong number.
__label__neutral,What number did you dial?
__label__neutral,Can you put Daisy back on I forgot to tell her something.
__label__neutral,Sure I'll go get her.
__label__neutral,No I got the answering machine.
__label__neutral,I got the busy signals.
__label__neutral,Paul  can you answer the phone I'm busy Paul.
__label__neutral,Can you get it  Paul My hands are tied Paul.
__label__neutral,No one He hung up on me.
__label__neutral,Wrong number  I guess He hung up without saying a word.
__label__neutral,Hi This is Abby I'm not home right now Please leave a message.
__label__neutral,Hi This is 555-5555 We're not here Please leave your message Thank you.
__label__neutral,Hi This is Brenda I can't come to the phone at this time Please leave a message and I'll 
__label__neutral,call you back as soon as possible.
__label__neutral,Hi  this is Aaron I'm either away from my desk  or on the phone Please leave a message 
__label__neutral,and I'll get right back to you.
__label__neutral,Hi  this is Ivy Sorry I missed you Please leave a message at the tone I'll get back to 
__label__neutral,you when I get in Thanks.
__label__neutral,Are you Peter Smith?  
__label__neutral,Fine  thanks And you?
__label__neutral,She is very well  thank you.
__label__neutral,Good afternoon  I'm Peter.
__label__neutral,Are you Bill Jones?  
__label__neutral,She's very well thank you.
__label__neutral,Good afternoon Mr Green.
__label__neutral,Good evening Mrs Brown.
