__label__empty, i know i was listening to bad habit earlier and i started freakin at his part
__label__sadness,Laying on bed with a headache ughhhh waiting on your call 
__label__sadness,Funeral ceremony gloomy friday 
__label__enthusiasm,wants to hang out with friends SOON 
__label__neutral,dannycastillo We want to trade with someone who has Houston tickets but no one will 
__label__worry,Re-pinging ghostridah14  why didn't you go to prom? BC my bf didn't like my friends
__label__sadness,I should be sleep but I'm not  thinking about an old friend who I want  but he's married now  damn  he wants me 2  scandalous 
__label__worry,Hmmm it is down
__label__sadness,charviray Charlene my love  I miss you
__label__sadness,kelcouch I am  sorry at least it's Friday?
__label__neutral,cant fall asleep
__label__worry,Choked on her retainers
__label__sadness, I have to beat this stupid song to get to the next rude 
__label__sadness,BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelaughing out loud
__label__surprise,Got the news
__label__sadness,The storm is here and the electricity is gone
__label__love, agreed
__label__sadness,So sleepy again and it's not even that late  I fail once again 
__label__worry, lady gaga tweeted about not being impressed by her video leaking just so you know
__label__sadness,How are YOU convinced that I have always wanted you? What signals did I give off damn I think I just lost another friend
__label__worry,raaaaaaek oh too bad  I hope it gets better  I've been having sleep issues lately too
__label__fun,Wondering why I am  awake at 7 a.m writing a new songplotting my evil secret plots muahahaha oh damn itnot secret anymore
__label__neutral,No Topic Maps talks at the Balisage Markup Conference 2009  Program online at somewhere
__label__worry,I ate Something I don't know what it is  Why do I keep Telling things about food
__label__sadness,so tired and i think i'm definitely going to get an ear infection  going to bed early for once 
__label__worry,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers  damn i feel old
__label__sadness,i'm sorry people are so rude to you  isaac  they should get some manners and know better than to be so lewd 
__label__worry,Damm servers still down i need to hit 80 before all the koxpers pass me
__label__sadness,Fudge Just BS'd that whole paper So tired Ugh I hate school  time to sleep  
__label__worry,I HATE CANCER  I HATE IT I HATE IT I HATE IT 
__label__hate,It is so annoying when she starts typing on her computer in the middle of the night 
__label__neutral, i cant sleep
__label__neutral,I missed the bus 
__label__neutral,feels strong contractions but wants to go out
__label__neutral,SoCal  stoked  or maybe not tomorrow
__label__neutral,Screw you davidbrussee  I only have 3 weeks 
__label__sadness,yeah  So i feel all funny cause i haven't slept enough i woke my mum up cause i was singing she's not impressed?
__label__worry,I need skott right now
__label__neutral,has work this afternoon
__label__neutral,you would not unfollow me would you? Then I would cry
__label__happiness, much better day  so far  it's still quite early  last day
__label__fun, you are gonna be the first twitter cause your amazing laughing out loud  come to canada would do anything to see you perform
__label__worry,just picked up her Blackberry from the middle of the street  Both she and it are crushed 
__label__worry,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I am  missing something 
__label__empty,creyes middle school and elementary  High schools will remain open for those who need credits to graduate  Cali is broken
__label__worry,Bed its time hope i go to school tomorrow  all though i don't feel very well right now
